candidate_id,activity_id_a,activity_id_b,candidate_reasons,candidate_confidence,review_status,merge_applied
cand-d41acc6c96a0b282,tpa-387f2d25ccfcdd,tpa-902ab34058e95f,exact_normalized_address,low,pending_human_review,no
cand-0744793928fdcf10,tpa-3a5d351545a77a,tpa-3f887726df0ff4,exact_normalized_address,low,pending_human_review,no
cand-1003fc9da423c62a,tpa-3a5d351545a77a,tpa-3fffd2b9db4775,exact_normalized_address,low,pending_human_review,no
cand-765f3337088527ff,tpa-3a91a25f248d04,tpa-952689e7d57a44,exact_normalized_address,low,pending_human_review,no
cand-b221000dd9ccc121,tpa-3ae48860549a6e,tpa-b20815fba512a8,shared_city_building_folio,low,pending_human_review,no
cand-1b9ad1c94b6ae479,tpa-3b2784a88e16f4,tpa-6446694fb39caa,exact_normalized_address,low,pending_human_review,no
cand-35f7f28a78d31bb5,tpa-3b2784a88e16f4,tpa-6f3fb0c6c08867,exact_normalized_address,low,pending_human_review,no
cand-89d37210c4b555d8,tpa-3b2784a88e16f4,tpa-b56f7afdb3ed13,exact_normalized_address,low,pending_human_review,no
cand-66511d24ae1f9fd4,tpa-3b2784a88e16f4,tpa-ba274783ba6307,exact_normalized_address,low,pending_human_review,no
cand-eb349c8a2cb10f5e,tpa-3b34f9405a6927,tpa-8ede26b7af6c1d,exact_normalized_address,low,pending_human_review,no
cand-5843c6482237ba93,tpa-3bfc49197b2b7d,tpa-a532314bb76fda,exact_normalized_address,low,pending_human_review,no
cand-6f3fc423238ff202,tpa-3c07f2da3c1ed2,tpa-5faab6a61467df,exact_normalized_address,low,pending_human_review,no
cand-056f299cd801fca4,tpa-3c4cf3de7d8803,tpa-a14046ac4c054b,exact_normalized_address,low,pending_human_review,no
cand-6895d06bf0f9f14d,tpa-3cf1a6cc7f74a8,tpa-7d757cf11c37c4,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-df0c20b99182719f,tpa-3e01c9e3411875,tpa-4c4090bce59fba,exact_normalized_address,low,pending_human_review,no
cand-8cc6cfe22c49a4bd,tpa-3e20d09012ddfd,tpa-d987e6142b19c9,exact_normalized_address,low,pending_human_review,no
cand-50a123124e24ff87,tpa-3ecddeffe95104,tpa-8cff9259bd2288,exact_normalized_address,low,pending_human_review,no
cand-3305bf025bc68bb7,tpa-3f6ded89aebfa3,tpa-4d566dea5d9045,exact_normalized_address,low,pending_human_review,no
cand-b656c592276a5f77,tpa-3f6ded89aebfa3,tpa-4e54d20537af5d,exact_normalized_address,low,pending_human_review,no
cand-a32fd48a72cc78da,tpa-3f6ded89aebfa3,tpa-5da8c7f504a7c2,exact_normalized_address,low,pending_human_review,no
cand-a18a75cb5d4c187c,tpa-3f6ded89aebfa3,tpa-639c5de6136528,exact_normalized_address,low,pending_human_review,no
cand-869f94f50733084a,tpa-3f6ded89aebfa3,tpa-6ce45f881f1a0a,exact_normalized_address,low,pending_human_review,no
cand-a3fd725064307a22,tpa-3f6ded89aebfa3,tpa-b10575f6418799,exact_normalized_address,low,pending_human_review,no
cand-9894989b21bceff4,tpa-3f6ded89aebfa3,tpa-b2f916fe77020c,exact_normalized_address,low,pending_human_review,no
cand-b6ba8c5bfab71c44,tpa-3f6ded89aebfa3,tpa-bb9f17ba7450b0,exact_normalized_address,low,pending_human_review,no
cand-114b6c3582826fe0,tpa-3f6ded89aebfa3,tpa-c0840dcddf84f5,exact_normalized_address,low,pending_human_review,no
cand-4cf4636d7e518bbd,tpa-3f6ded89aebfa3,tpa-c45e95d0d0bb78,exact_normalized_address,low,pending_human_review,no
cand-6cd112dcbc8197b5,tpa-3f6ded89aebfa3,tpa-dbb325a1b4622b,exact_normalized_address,low,pending_human_review,no
cand-a49b7fab14f3eb67,tpa-3f6ded89aebfa3,tpa-dda930a5a7507d,exact_normalized_address,low,pending_human_review,no
cand-8b3a00d9bb731cda,tpa-3f6ded89aebfa3,tpa-f580fde975c97d,exact_normalized_address,low,pending_human_review,no
cand-b56c9f93519036c8,tpa-3f6ded89aebfa3,tpa-f75d1b96128237,exact_normalized_address,low,pending_human_review,no
cand-f8cca91b36dd6e33,tpa-3f887726df0ff4,tpa-3fffd2b9db4775,exact_normalized_address,low,pending_human_review,no
cand-be13cc959e471428,tpa-3fea71eba2b367,tpa-811fdff1550029,exact_normalized_address,low,pending_human_review,no
cand-31f82eb2eeb97768,tpa-41129e2c44ce77,tpa-90db744ac2f785,exact_normalized_address,low,pending_human_review,no
cand-db7f22ebd06246b3,tpa-4170383a03002d,tpa-9988a148d10d99,exact_normalized_address,low,pending_human_review,no
cand-e86b11d2eedf98d5,tpa-4220fd7570b23d,tpa-85ff5692fd322e,exact_normalized_address,low,pending_human_review,no
cand-2b623139cab4c4c8,tpa-436314f6369a61,tpa-6b3c6c3585b6a5,exact_normalized_address,low,pending_human_review,no
cand-410c57d8a8996ff5,tpa-436314f6369a61,tpa-76c64af42041ad,exact_normalized_address,low,pending_human_review,no
cand-0c59bfbefd2023b2,tpa-45807971f6c8ba,tpa-4c877d1b40de87,shared_city_building_folio,low,pending_human_review,no
cand-8eb0520c7e33afa0,tpa-45c5f52620299f,tpa-a95ad854a24323,shared_city_building_folio,low,pending_human_review,no
cand-4411c2eedc11fb73,tpa-45f3ec1be263ed,tpa-a16dd6a2ae7979,shared_city_building_folio,low,pending_human_review,no
cand-b835091538f44f4f,tpa-46720b23e3764e,tpa-4fcde30f1f4741,shared_city_building_folio,low,pending_human_review,no
cand-d50d15e5a7db1cac,tpa-4790444b10d1da,tpa-e0c176437aece9,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-6294264da9d58504,tpa-4890d705ea295a,tpa-57ef92240b13af,exact_normalized_address,low,pending_human_review,no
cand-834c4333f1c804a3,tpa-4890d705ea295a,tpa-ffc3624f9d8ca9,exact_normalized_address,low,pending_human_review,no
cand-4dbbbd087974bbe2,tpa-48d9713e1c0512,tpa-ea8ae8e45aa79a,exact_normalized_address;shared_city_building_folio,medium,pending_human_review,no
cand-fdb37500d03a62d9,tpa-49478bf6456f37,tpa-4fcdd31eec2cde,exact_normalized_address,low,pending_human_review,no
cand-bf29f154c6769d98,tpa-4961e3901719d4,tpa-4b7d361b594460,exact_normalized_address,low,pending_human_review,no
cand-1af9f2b4d66d978d,tpa-4961e3901719d4,tpa-932eb03636507a,exact_normalized_address,low,pending_human_review,no
cand-56836c424b4ea2bd,tpa-4961e3901719d4,tpa-a732a51d6cdf33,exact_normalized_address,low,pending_human_review,no
cand-67760b1855ada5ce,tpa-4961e3901719d4,tpa-ffe358fdc00f69,exact_normalized_address,low,pending_human_review,no
cand-4b2d84bcb36053e2,tpa-4981ad9dd77cdd,tpa-537870730398a5,exact_normalized_address,low,pending_human_review,no
cand-5c7af26d0a1de2e6,tpa-498f7dbd762b3f,tpa-e2a92aee6d076e,shared_city_building_folio,low,pending_human_review,no
cand-e91e832de481cf3d,tpa-49e80e51163e4f,tpa-902da4944a805f,shared_city_building_folio,low,pending_human_review,no
cand-918279b87588c33f,tpa-49e80e51163e4f,tpa-c8bd1ede6078ca,shared_city_building_folio,low,pending_human_review,no
cand-75aa59f653edf069,tpa-4a20733feee759,tpa-dc1fb87492a018,exact_normalized_address,low,pending_human_review,no
