city_project_id,budget_book_context_record_ids,budget_book_record_count,activity_id,master_project_id,comparison_status,match_method,budget_book_status,core_status,budget_book_project_name,core_project_name,observed_at_utc
WTR-20-0002.1,,0,tpa-31ac882cfd51ab,mp-3faef8e99cbd31bf,core_capital_only,no_exact_identifier_match,,Construction in Progress,,Foundation for Tampa's Neighborhoods Project_Forest Hills Area,2026-08-28T04:55:51+00:00
WTR-20-0002.2,,0,tpa-e67b1d76ad5ab1,mp-d11f36c56861804a,core_capital_only,no_exact_identifier_match,,Construction in Progress,,Foundation for Tampa’s Neighborhoods Project_Virginia Park Area,2026-08-28T04:55:51+00:00
WTR-20-0002.3,,0,tpa-0757d2714b69f8;tpa-c5747c295728cb,mp-498e97e7e6e7e435;mp-672262aa1c7a082a,core_capital_only,no_exact_identifier_match,,,,,2026-08-28T04:55:51+00:00
WTR-20-0002.4,,0,tpa-ea487783c2cd04,mp-7999eba7d10df8c8,core_capital_only,no_exact_identifier_match,,Closeout,,Foundation for Tampa’s Neighborhoods Project_MacFarlane Park Area,2026-08-28T04:55:51+00:00
WTR-20-0005.2-JFK Blvd,,0,tpa-5edb74c5732c81,mp-ea00733bf2c07e17,core_capital_only,no_exact_identifier_match,,Closeout,,JFK Blvd,2026-08-28T04:55:51+00:00
WTR-20-0005.3-12th St,,0,tpa-18140cc0c8929a;tpa-5fef9ad1d2fa7a,mp-bf7ef0ccec866667;mp-c32be8968e35e32f,core_capital_only,no_exact_identifier_match,,,,,2026-08-28T04:55:51+00:00
WTR-20-0005.3-W Chelsea St Transmission,bbp-f755579938378e88,1,tpa-9ca0598cb43d43;tpa-a16226972256e9,mp-6838019dd707edc0;mp-a25fca6d21af598e,ambiguous_multiple_core_activities,exact_city_project_id,Construction in Progress,,FY20 CIP Water Main Improvements Design-Build_W Chelsea St Transmission – GMP 5,,2026-08-28T04:55:51+00:00
WTR-20-0005.3-W Riverside Heights,,0,tpa-2b1064aff1ae34;tpa-4c3987bb085709,mp-0bccbd347bf645aa;mp-31522aae86385744,core_capital_only,no_exact_identifier_match,,,,,2026-08-28T04:55:51+00:00
WTR-20-0005.5-15th St,,0,tpa-72ec8daae55334,mp-5aa5751e654cafd5,core_capital_only,no_exact_identifier_match,,Planning,,FY20 CIP Water Main Improvements Design-Build_15th St – GMP5,2026-08-28T04:55:51+00:00
WTR-20-0011,,0,tpa-30d21feab70465,mp-9e8cc066fb73a737,core_capital_only,no_exact_identifier_match,,60% Design Completion,,Ola Ave,2026-08-28T04:55:51+00:00
WTR-20-0012,,0,tpa-098cbcedd446c3,mp-bd3c59f0de8c9eb0,core_capital_only,no_exact_identifier_match,,Closeout,,Yorkshire,2026-08-28T04:55:51+00:00
WTR-20-0017,,0,tpa-530b9cd940a340,mp-5fcad53bdcf1abb9,core_capital_only,no_exact_identifier_match,,Closeout,,Morris Bridge Filter Roof Retro – COOP Site,2026-08-28T04:55:51+00:00
WTR-21-0014,,0,tpa-77d281688e839d,mp-a83fec6c1cfa2b6c,core_capital_only,no_exact_identifier_match,,Project Startup,,Armory Gardens,2026-08-28T04:55:51+00:00
WTR-21-0015,,0,tpa-d1773208bf209c,mp-cc4dd6d4f1822823,core_capital_only,no_exact_identifier_match,,Project Startup,,Jefferson,2026-08-28T04:55:51+00:00
WTR-22-0004,,0,tpa-c2d811955a60f6,mp-fc9ca6498df84cdc,core_capital_only,no_exact_identifier_match,,60% Design Completion,,7th Ave WM Replacement,2026-08-28T04:55:51+00:00
WTR-22-0005,,0,tpa-99347a82db3efc,mp-69764cbafd2db04a,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Gray Gables,2026-08-28T04:55:51+00:00
WTR-23-0001,,0,tpa-863274665dec07,mp-85cf5b83de585227,core_capital_only,no_exact_identifier_match,,30% Design Completion,,Palmetto Beach,2026-08-28T04:55:51+00:00
WTR-23-0002,,0,tpa-0db9b0ea2daa64,mp-b9ace799226c3aed,core_capital_only,no_exact_identifier_match,,90% Design Completion,,Lois Ave,2026-08-28T04:55:51+00:00
WTR-24-0001.2_North Ybor Phase I,,0,tpa-06cf2dffdb4440,mp-e760705c2c40e9f4,core_capital_only,no_exact_identifier_match,,60% Design Completion,,North Ybor Phase I,2026-08-28T04:55:51+00:00
WTR-24-0001.2_Oakford Park Phase I,,0,tpa-b337e9926098ab,mp-d5c564c8a9750eae,core_capital_only,no_exact_identifier_match,,60% Design Completion,,Oakford Park Phase I,2026-08-28T04:55:51+00:00
WTR-24-0001.3_E Arbor Heights_East Phase I,,0,tpa-bd13932492bdfe,mp-3bfd046808e1ca98,core_capital_only,no_exact_identifier_match,,60% Design Completion,,East Arbor Heights_East Phase I,2026-08-28T04:55:51+00:00
