old_activity_id,new_activity_id,cluster_basis,cluster_key
tpa-a8de5f6935b10e,tpa-f51432f4534560,connected_exact_normalized_project_names_across_capital_layers,N 15TH STREET ADA IMPROVEMENTS FROM E 109TH AVE TO E FOWLER AVE
tpa-3a086a27e4ff8a,tpa-f56607de0ed61e,connected_exact_normalized_project_names_across_capital_layers,HIMES AVE GANDY BLVD TRAFFIC SIGNAL UPGRADE
tpa-43f3d942e50663,tpa-f56607de0ed61e,connected_exact_normalized_project_names_across_capital_layers,HIMES AVE GANDY BLVD TRAFFIC SIGNAL UPGRADE
tpa-08c09eeb8808fc,tpa-f8b080678d224d,connected_exact_normalized_project_names_across_capital_layers,W CYPRESS STREET RESURFACING ZONE 1 FROM N OBRIEN ST TO N HIMES AVE
tpa-3dd41f395edffb,tpa-f8b080678d224d,connected_exact_normalized_project_names_across_capital_layers,W CYPRESS STREET RESURFACING ZONE 1 FROM N OBRIEN ST TO N HIMES AVE
tpa-167974fad51828,tpa-fad81e27486de4,connected_exact_normalized_project_names_across_capital_layers,GREEN ARTERY SEGMENT D
tpa-706063889b47d1,tpa-fad81e27486de4,connected_exact_normalized_project_names_across_capital_layers,GREEN ARTERY SEGMENT D
tpa-08a526f2666c55,tpa-fcb5e1c46a52dc,connected_exact_normalized_project_names_across_capital_layers,COLUMBUS DR ROME AVE NEW TRAFFIC SIGNAL
tpa-931e7131dd9c8a,tpa-fcb5e1c46a52dc,connected_exact_normalized_project_names_across_capital_layers,COLUMBUS DR ROME AVE NEW TRAFFIC SIGNAL
tpa-0f52ea932ae248,tpa-fcd1f5f70bf6dd,connected_exact_normalized_project_names_across_capital_layers,PALMA CEIA AREA 2 AKA PHASE III
tpa-f277bf26795a98,tpa-fcd1f5f70bf6dd,connected_exact_normalized_project_names_across_capital_layers,PALMA CEIA AREA 2 AKA PHASE III
tpa-9f3572aad6a3ea,tpa-fe99d021a307df,connected_exact_normalized_project_names_across_capital_layers,NTCB 99TH AVE WEST POND EXPANSION
tpa-bef12cbe42cf3b,tpa-fe99d021a307df,connected_exact_normalized_project_names_across_capital_layers,NTCB 99TH AVE WEST POND EXPANSION
