finance_event_id,activity_id,master_project_id,city_project_id,contract_number,event_type,event_date,fiscal_year,amount_usd,amount_direction,funding_source,resolution_number,source_document,source_url,observed_at_utc,source_record_last_edited_at_utc,evidence_strength,is_inferred,interpretation_warning
fin-c53e794d2517ff19,,,1001010,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001010.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-ae08b656004adc83,,,1000178,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1000178.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-3e19cbb7823d5e6f,tpa-42dcf7268b88bc,mp-553fc659c7a3e367,1001370,,funded_status_reported,,2023,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001370.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-05-23T17:30:42+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-6e6f4d2695b5fc97,,,1001437,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001437.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-b3d5f524aa253169,,,1001237,21-C-00036,funded_status_reported,,2021,,not_applicable,Parking System Revenues,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001237.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-06-27T12:12:02+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-3e7b4f9d0c2e5181,,,1001114,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001114.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-726867618eaedf60,,,1001582,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001582.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-23ced5b63cc279f2,,,1002113,,capital_estimate_reported,,2024,225000,reported_level,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002113.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T15:04:48+00:00,official_source_observation,no,"Estimated cost is a reported project-level estimate, not spending or a budget amendment."
fin-88a91a07b1838973,,,1002113,,funded_status_reported,,2024,,not_applicable,Stormwater Improvement Fee,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1002113.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-09-22T15:04:48+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
fin-482d2278df22e036,,,1001167,,funded_status_reported,,,,not_applicable,,,https://apps.tampagov.net/Directory_Lister/FileHandler.ashx?file=GIS%2f1001167.pdf,https://arcgis.tampagov.net/arcgis/rest/services/CapitalProjects/CapitalProjectsBudgetBook/FeatureServer/0,2026-08-28T04:55:51+00:00,2022-02-26T21:04:29+00:00,official_source_observation,no,"Funded status is an administrative source label, not an expenditure amount."
